event_name,relay_team_name,rank_position,seed_time_text,result_time_text,result_time_ms,status,source_id,page_number,line_number
Mixed 100-119 200 LC Meter Freestyle Relay,Aquaclub Maipu A,1,NT,"2:04,76",124760,valid,1,15,13
Mixed 120-159 200 LC Meter Freestyle Relay,Nunoa Master A,1,"2:03,00","2:05,87",125870,valid,1,15,16
Mixed 120-159 200 LC Meter Freestyle Relay,Aquaclub Maipu A,2,NT,"2:32,94",152940,valid,1,15,18
Mixed 160-199 200 LC Meter Freestyle Relay,Club Deportivo UC A,1,"1:48,96","2:29,40",149400,valid,1,15,21
Mixed 160-199 200 LC Meter Freestyle Relay,Pedro Aguirre Cerda A,2,"2:58,00","2:48,79",168790,valid,1,15,23
Mixed 160-199 200 LC Meter Freestyle Relay,Master Providencia A,3,"3:50,00","2:53,56",173560,valid,1,15,25
Mixed 160-199 200 LC Meter Freestyle Relay,Natacion Master Recoleta A,4,"4:25,00","3:10,97",190970,valid,1,15,27
Mixed 200-239 200 LC Meter Freestyle Relay,Natacion Master Recoleta A,1,"4:05,00","3:04,77",184770,valid,1,15,30
Mixed 240-279 200 LC Meter Freestyle Relay,Penñalolen Master A,1,"4:00,00","2:46,36",166360,valid,1,15,33
Mixed 240-279 200 LC Meter Freestyle Relay,Master Providencia A,2,"5:00,00","4:00,59",240590,valid,1,15,35
Mixed 240-279 200 LC Meter Freestyle Relay,Nunoa Master A,3,"3:50,00","4:04,21",244210,valid,1,15,37
Mixed 100-119 200 LC Meter Medley Relay,Pedro Aguirre Cerda A,1,"2:37,00","2:43,69",163690,valid,1,15,40
Mixed 100-119 200 LC Meter Medley Relay,Penñalolen Master A,2,"3:00,00","2:52,66",172660,valid,1,15,42
Mixed 120-159 200 LC Meter Medley Relay,Natacion Master Recoleta A,1,"3:00,00","2:47,77",167770,valid,1,15,45
Mixed 120-159 200 LC Meter Medley Relay,100 por Ciento Swim A,2,"3:00,00","2:48,33",168330,valid,1,15,47
Mixed 120-159 200 LC Meter Medley Relay,Azul Natacion Mendoza A,3,NT,"3:18,34",198340,valid,1,15,49
Mixed 160-199 200 LC Meter Medley Relay,Master Providencia A,1,"2:20,00","2:25,56",145560,valid,1,16,5
Mixed 160-199 200 LC Meter Medley Relay,Nunoa Master A,2,"2:33,00","2:26,41",146410,valid,1,16,7
Mixed 160-199 200 LC Meter Medley Relay,Penñalolen Master A,,"4:00,00",DQ,,dsq,1,16,9
Mixed 200-239 200 LC Meter Medley Relay,Master Providencia A,1,"2:55,00","3:05,40",185400,valid,1,16,12
Mixed 200-239 200 LC Meter Medley Relay,Natacion Master Recoleta A,2,"3:10,00","3:10,40",190400,valid,1,16,14
Mixed 240-279 200 LC Meter Medley Relay,Master Providencia A,1,"2:40,00","2:50,25",170250,valid,1,16,17
Mixed 240-279 200 LC Meter Medley Relay,Penñalolen Master A,2,"4:00,00","3:19,74",199740,valid,1,16,19
Mixed 240-279 200 LC Meter Medley Relay,Nunoa Master A,3,"4:21,00","4:01,18",241180,valid,1,16,21
Mixed 280-319 200 LC Meter Medley Relay,Master Providencia A,1,"4:15,00","4:12,15",252150,valid,1,16,24
Mixed 280-319 200 LC Meter Medley Relay,Nunoa Master A,,"4:12,00",DQ,,dsq,1,16,26
