page_number,line_number,event_number,event_name,athlete_name,age,club_name,rank_position,seed_time_text,result_time_text,result_time_ms,status,raw_line
1,6,1,women 20-24 200 LC Meter individual_medley,"Avila, Sofia",21,Orinoco Swim,1,"4:00,00","3:49,52",229520,valid,"1 Avila, Sofia 21 Orinoco Swim 4:00,00 3:49,52"
1,8,1,women 25-29 200 LC Meter individual_medley,"Mellado, Ana Laura",25,Aquaclub Maipu,1,"3:16,90","3:12,93",192930,valid,"1 Mellado, Ana Laura 25 Aquaclub Maipu 3:16,90 3:12,93"
1,9,1,women 25-29 200 LC Meter individual_medley,"Ubilla, Catalina",29,Penñalolen Master,2,"3:15,00","3:16,40",196400,valid,"2 Ubilla, Catalina 29 Penñalolen Master 3:15,00 3:16,40"
1,10,1,women 25-29 200 LC Meter individual_medley,"Nunñez, Manuela",29,Master Providencia,3,"3:25,00","3:23,89",203890,valid,"3 Nunñez, Manuela 29 Master Providencia 3:25,00 3:23,89"
1,11,1,women 25-29 200 LC Meter individual_medley,"Rivera, Sofia",29,Calambre Swim Team,4,"3:40,00","3:31,88",211880,valid,"4 Rivera, Sofia 29 Calambre Swim Team 3:40,00 3:31,88"
1,12,1,women 25-29 200 LC Meter individual_medley,"Araya, Sofia",27,100 por Ciento Swim,5,NT,"3:37,32",217320,valid,"5 Araya, Sofia 27 100 por Ciento Swim NT 3:37,32"
1,13,1,women 25-29 200 LC Meter individual_medley,"Carter, Daniela",28,Penñalolen Master,6,"7:00,00","4:27,27",267270,valid,"6 Carter, Daniela 28 Penñalolen Master 7:00,00 4:27,27"
1,15,1,women 30-34 200 LC Meter individual_medley,"Ramirez, Carolina Isabel",33,Club Deportivo UC,1,"4:00,00","3:45,92",225920,valid,"1 Ramirez, Carolina Isabel 33 Club Deportivo UC 4:00,00 3:45,92"
1,16,1,women 30-34 200 LC Meter individual_medley,"Lopez, Diane",30,Pedro Aguirre Cerda,2,"3:30,00","3:48,56",228560,valid,"2 Lopez, Diane 30 Pedro Aguirre Cerda 3:30,00 3:48,56"
1,17,1,women 30-34 200 LC Meter individual_medley,"Herrera Rojas, Gema",34,Penñalolen Master,3,"4:27,00","4:07,23",247230,valid,"3 Herrera Rojas, Gema 34 Penñalolen Master 4:27,00 4:07,23"
1,19,1,women 35-39 200 LC Meter individual_medley,"Vacher, Francisca",35,Golden,1,"3:10,00","3:09,93",189930,valid,"1 Vacher, Francisca 35 Golden 3:10,00 3:09,93"
1,21,1,women 40-44 200 LC Meter individual_medley,"Velasquez, Lenismar",44,Natacion Master Recoleta,1,"3:54,19","3:59,07",239070,valid,"1 Velasquez, Lenismar 44 Natacion Master Recoleta 3:54,19 3:59,07"
1,23,1,women 45-49 200 LC Meter individual_medley,"Guadalupe, Paula",48,Master Providencia,1,"3:20,00","3:11,11",191110,valid,"1 Guadalupe, Paula 48 Master Providencia 3:20,00 3:11,11"
1,24,1,women 45-49 200 LC Meter individual_medley,"Arriola, Silvia",45,Aquaclub Maipu,2,"2:47,00","3:16,65",196650,valid,"2 Arriola, Silvia 45 Aquaclub Maipu 2:47,00 3:16,65"
1,25,1,women 45-49 200 LC Meter individual_medley,"Aguilar, Glaisa",48,Nunoa Master,3,"4:06,70","3:54,02",234020,valid,"3 Aguilar, Glaisa 48 Nunoa Master 4:06,70 3:54,02"
1,27,1,women 50-54 200 LC Meter individual_medley,"Tapia, Julieta",51,Master Providencia,1,"4:20,00","4:16,90",256900,valid,"1 Tapia, Julieta 51 Master Providencia 4:20,00 4:16,90"
1,28,1,women 50-54 200 LC Meter individual_medley,"Sepulveda, Francesca",51,Calambre Swim Team,2,"4:53,00","4:44,38",284380,valid,"2 Sepulveda, Francesca 51 Calambre Swim Team 4:53,00 4:44,38"
1,30,1,women 55-59 200 LC Meter individual_medley,"Perez, Paulina",56,Natacion Master Recoleta,1,"4:53,75","4:43,17",283170,valid,"1 Perez, Paulina 56 Natacion Master Recoleta 4:53,75 4:43,17"
1,32,1,women 60-64 200 LC Meter individual_medley,"Case, Cynthia",64,Master Providencia,1,"3:45,00","3:36,86",216860,valid,"1 Case, Cynthia 64 Master Providencia 3:45,00 3:36,86"
1,33,1,women 60-64 200 LC Meter individual_medley,"Loayza, Alejandra",61,Master Providencia,2,"3:55,00","3:52,68",232680,valid,"2 Loayza, Alejandra 61 Master Providencia 3:55,00 3:52,68"
1,34,1,women 60-64 200 LC Meter individual_medley,"Torres, Sandra",62,Penñalolen Master,3,"4:50,00","4:50,35",290350,valid,"3 Torres, Sandra 62 Penñalolen Master 4:50,00 4:50,35"
1,35,1,women 60-64 200 LC Meter individual_medley,"Valdivia, Adriana",63,Penñalolen Master,4,"7:00,00","6:00,76",360760,valid,"4 Valdivia, Adriana 63 Penñalolen Master 7:00,00 6:00,76"
1,37,1,women 65-69 200 LC Meter individual_medley,"Fuentes, Paulina",65,Club Koyaique,1,"3:45,00","3:51,56",231560,valid,"1 Fuentes, Paulina 65 Club Koyaique 3:45,00 3:51,56"
1,38,1,women 65-69 200 LC Meter individual_medley,"Concha, Elizabeth",68,Nunoa Master,2,"3:54,00","5:47,02",347020,valid,"2 Concha, Elizabeth 68 Nunoa Master 3:54,00 5:47,02"
1,40,2,men 20-24 200 LC Meter individual_medley,"Gonzalez, Joaquin",23,Natacion Master Recoleta,1,"3:20,00","3:26,11",206110,valid,"1 Gonzalez, Joaquin 23 Natacion Master Recoleta 3:20,00 3:26,11"
1,41,2,men 20-24 200 LC Meter individual_medley,"Moron, Martin",22,Azul Natacion Mendoza,2,"4:00,00","3:48,79",228790,valid,"2 Moron, Martin 22 Azul Natacion Mendoza 4:00,00 3:48,79"
1,43,2,men 25-29 200 LC Meter individual_medley,"Silva, Benjamin",25,Natacion Master Recoleta,1,"2:56,15","2:58,75",178750,valid,"1 Silva, Benjamin 25 Natacion Master Recoleta 2:56,15 2:58,75"
1,44,2,men 25-29 200 LC Meter individual_medley,"Moreno, Julian",29,Aquaclub Maipu,2,"3:00,37","3:00,45",180450,valid,"2 Moreno, Julian 29 Aquaclub Maipu 3:00,37 3:00,45"
1,45,2,men 25-29 200 LC Meter individual_medley,"Gonzalez, Daniel",27,Nunoa Master,3,"2:39,09","3:14,02",194020,valid,"3 Gonzalez, Daniel 27 Nunoa Master 2:39,09 3:14,02"
1,46,2,men 25-29 200 LC Meter individual_medley,"Meneses, Felipe",27,Pedro Aguirre Cerda,4,"3:06,80","3:21,99",201990,valid,"4 Meneses, Felipe 27 Pedro Aguirre Cerda 3:06,80 3:21,99"
