page_number,line_number,event_name_context,raw_line,reason
2,2,Men 30-34 200 LC Meter IM,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
3,2,Women 30-34 50 LC Meter Butterfly,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
4,2,Men 20-24 50 LC Meter Butterfly,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
5,2,Men 40-44 50 LC Meter Butterfly,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
6,2,Women 25-29 100 LC Meter Backstroke,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
7,2,Men 19 & Under 100 LC Meter Backstroke,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
8,2,Men 65-69 100 LC Meter Backstroke,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
9,2,Women 50-54 50 LC Meter Breaststroke,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
10,2,Men 30-34 50 LC Meter Breaststroke,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
11,2,Men 60-64 50 LC Meter Breaststroke,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
12,2,Women 45-49 100 LC Meter Freestyle,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
13,2,Men 20-24 100 LC Meter Freestyle,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
14,2,Men 35-39 100 LC Meter Freestyle,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
15,2,Men 70-74 100 LC Meter Freestyle,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
15,13,Mixed 100-119 200 LC Meter Freestyle Relay,"1 Aquaclub Maipu A NT 2:04,76",unparsed_inside_event
15,14,Mixed 100-119 200 LC Meter Freestyle Relay,"1) Dave, Gisela W28 2) Mellado, Ana Laura W25 3) Moreno, Julian M29 4) Celaya, Ariel M36",unparsed_inside_event
15,16,Mixed 120-159 200 LC Meter Freestyle Relay,"1 Nunoa Master A 2:03,00 2:05,87",unparsed_inside_event
15,17,Mixed 120-159 200 LC Meter Freestyle Relay,"1) Nava, Juan M30 2) Mangiameli, Georgina W41 3) Godoy, Ana W37 4) Carrera, Angel M35",unparsed_inside_event
15,18,Mixed 120-159 200 LC Meter Freestyle Relay,"2 Aquaclub Maipu A NT 2:32,94",unparsed_inside_event
15,19,Mixed 120-159 200 LC Meter Freestyle Relay,"1) Guinñazu, Selene W21 2) Sanchez, Johana W31 3) Ros, Matias M29 4) Camargo, Pablo Sergio M46",unparsed_inside_event
15,21,Mixed 160-199 200 LC Meter Freestyle Relay,"1 Club Deportivo UC A 1:48,96 2:29,40",unparsed_inside_event
15,22,Mixed 160-199 200 LC Meter Freestyle Relay,"1) Pacheco Juri, Jose Tomas M30 2) Quinones, Ema W61 3) Ramirez, Carolina Isabel W33 4) Matulic L, Wladimir M53",unparsed_inside_event
15,23,Mixed 160-199 200 LC Meter Freestyle Relay,"2 Pedro Aguirre Cerda A 2:58,00 2:48,79",unparsed_inside_event
15,24,Mixed 160-199 200 LC Meter Freestyle Relay,"1) Meneses, Felipe M27 2) Reyes, Irene W62 3) Amaro, Maria W56 4) Caro, Cristobal M26",unparsed_inside_event
15,25,Mixed 160-199 200 LC Meter Freestyle Relay,"3 Master Providencia A 3:50,00 2:53,56",unparsed_inside_event
15,26,Mixed 160-199 200 LC Meter Freestyle Relay,"1) Diaz, Andres M42 2) Aros, Paola W55 3) Defosse, Carla W45 4) Sanchez, Marco M37",unparsed_inside_event
15,27,Mixed 160-199 200 LC Meter Freestyle Relay,"4 Natacion Master Recoleta A 4:25,00 3:10,97",unparsed_inside_event
15,28,Mixed 160-199 200 LC Meter Freestyle Relay,"1) Vera, Claudia W52 2) Cabello, Daniel M45 3) Monsalve, Nicolas M27 4) Moncada, Marisol W61",unparsed_inside_event
15,30,Mixed 200-239 200 LC Meter Freestyle Relay,"1 Natacion Master Recoleta A 4:05,00 3:04,77",unparsed_inside_event
15,31,Mixed 200-239 200 LC Meter Freestyle Relay,"1) Torres, Renzo M42 2) Canñete, Soledad W63 3) Curihuinca, Camilo M35 4) Alarcon, Silvia W68",unparsed_inside_event
15,33,Mixed 240-279 200 LC Meter Freestyle Relay,"1 Penñalolen Master A 4:00,00 2:46,36",unparsed_inside_event
