event_name,athlete_name,club_name,rank_position,result_time_text,result_time_ms,status,source_id
Women 20-24 200 LC Meter IM,"Avila, Sofia",Orinoco Swim,1,"3:49,52",229520,valid,1
Women 25-29 200 LC Meter IM,"Mellado, Ana Laura",Aquaclub Maipu,1,"3:12,93",192930,valid,1
Women 25-29 200 LC Meter IM,"Ubilla, Catalina",Penñalolen Master,2,"3:16,40",196400,valid,1
Women 25-29 200 LC Meter IM,"Nunñez, Manuela",Master Providencia,3,"3:23,89",203890,valid,1
Women 25-29 200 LC Meter IM,"Rivera, Sofia",Calambre Swim Team,4,"3:31,88",211880,valid,1
Women 25-29 200 LC Meter IM,"Araya, Sofia",100 por Ciento Swim,5,"3:37,32",217320,valid,1
Women 25-29 200 LC Meter IM,"Carter, Daniela",Penñalolen Master,6,"4:27,27",267270,valid,1
Women 30-34 200 LC Meter IM,"Ramirez, Carolina Isabel",Club Deportivo UC,1,"3:45,92",225920,valid,1
Women 30-34 200 LC Meter IM,"Lopez, Diane",Pedro Aguirre Cerda,2,"3:48,56",228560,valid,1
Women 30-34 200 LC Meter IM,"Herrera Rojas, Gema",Penñalolen Master,3,"4:07,23",247230,valid,1
Women 35-39 200 LC Meter IM,"Vacher, Francisca",Golden,1,"3:09,93",189930,valid,1
Women 40-44 200 LC Meter IM,"Velasquez, Lenismar",Natacion Master Recoleta,1,"3:59,07",239070,valid,1
Women 45-49 200 LC Meter IM,"Guadalupe, Paula",Master Providencia,1,"3:11,11",191110,valid,1
Women 45-49 200 LC Meter IM,"Arriola, Silvia",Aquaclub Maipu,2,"3:16,65",196650,valid,1
Women 45-49 200 LC Meter IM,"Aguilar, Glaisa",Nunoa Master,3,"3:54,02",234020,valid,1
Women 50-54 200 LC Meter IM,"Tapia, Julieta",Master Providencia,1,"4:16,90",256900,valid,1
Women 50-54 200 LC Meter IM,"Sepulveda, Francesca",Calambre Swim Team,2,"4:44,38",284380,valid,1
Women 55-59 200 LC Meter IM,"Perez, Paulina",Natacion Master Recoleta,1,"4:43,17",283170,valid,1
Women 60-64 200 LC Meter IM,"Case, Cynthia",Master Providencia,1,"3:36,86",216860,valid,1
Women 60-64 200 LC Meter IM,"Loayza, Alejandra",Master Providencia,2,"3:52,68",232680,valid,1
Women 60-64 200 LC Meter IM,"Torres, Sandra",Penñalolen Master,3,"4:50,35",290350,valid,1
Women 60-64 200 LC Meter IM,"Valdivia, Adriana",Penñalolen Master,4,"6:00,76",360760,valid,1
Women 65-69 200 LC Meter IM,"Fuentes, Paulina",Club Koyaique,1,"3:51,56",231560,valid,1
Women 65-69 200 LC Meter IM,"Concha, Elizabeth",Nunoa Master,2,"5:47,02",347020,valid,1
Men 20-24 200 LC Meter IM,"Gonzalez, Joaquin",Natacion Master Recoleta,1,"3:26,11",206110,valid,1
Men 20-24 200 LC Meter IM,"Moron, Martin",Azul Natacion Mendoza,2,"3:48,79",228790,valid,1
Men 25-29 200 LC Meter IM,"Silva, Benjamin",Natacion Master Recoleta,1,"2:58,75",178750,valid,1
Men 25-29 200 LC Meter IM,"Moreno, Julian",Aquaclub Maipu,2,"3:00,45",180450,valid,1
Men 25-29 200 LC Meter IM,"Gonzalez, Daniel",Nunoa Master,3,"3:14,02",194020,valid,1
