competition_id,event_name,stroke,distance_m,gender,age_group,round_type,source_id
1,Women 20-24 200 LC Meter IM,im,200,women,20-24,final,1
1,Women 25-29 200 LC Meter IM,im,200,women,25-29,final,1
1,Women 30-34 200 LC Meter IM,im,200,women,30-34,final,1
1,Women 35-39 200 LC Meter IM,im,200,women,35-39,final,1
1,Women 40-44 200 LC Meter IM,im,200,women,40-44,final,1
1,Women 45-49 200 LC Meter IM,im,200,women,45-49,final,1
1,Women 50-54 200 LC Meter IM,im,200,women,50-54,final,1
1,Women 55-59 200 LC Meter IM,im,200,women,55-59,final,1
1,Women 60-64 200 LC Meter IM,im,200,women,60-64,final,1
1,Women 65-69 200 LC Meter IM,im,200,women,65-69,final,1
1,Men 20-24 200 LC Meter IM,im,200,men,20-24,final,1
1,Men 25-29 200 LC Meter IM,im,200,men,25-29,final,1
1,Men 30-34 200 LC Meter IM,im,200,men,30-34,final,1
1,Men 35-39 200 LC Meter IM,im,200,men,35-39,final,1
1,Men 40-44 200 LC Meter IM,im,200,men,40-44,final,1
1,Men 45-49 200 LC Meter IM,im,200,men,45-49,final,1
1,Men 50-54 200 LC Meter IM,im,200,men,50-54,final,1
1,Men 55-59 200 LC Meter IM,im,200,men,55-59,final,1
1,Men 60-64 200 LC Meter IM,im,200,men,60-64,final,1
1,Women 19 & Under 50 LC Meter Butterfly,butterfly,50,women,19 & Under,final,1
1,Women 20-24 50 LC Meter Butterfly,butterfly,50,women,20-24,final,1
1,Women 25-29 50 LC Meter Butterfly,butterfly,50,women,25-29,final,1
1,Women 30-34 50 LC Meter Butterfly,butterfly,50,women,30-34,final,1
1,Women 35-39 50 LC Meter Butterfly,butterfly,50,women,35-39,final,1
1,Women 40-44 50 LC Meter Butterfly,butterfly,50,women,40-44,final,1
1,Women 45-49 50 LC Meter Butterfly,butterfly,50,women,45-49,final,1
1,Women 50-54 50 LC Meter Butterfly,butterfly,50,women,50-54,final,1
1,Women 55-59 50 LC Meter Butterfly,butterfly,50,women,55-59,final,1
1,Women 60-64 50 LC Meter Butterfly,butterfly,50,women,60-64,final,1
1,Women 65-69 50 LC Meter Butterfly,butterfly,50,women,65-69,final,1
1,Men 19 & Under 50 LC Meter Butterfly,butterfly,50,men,19 & Under,final,1
1,Men 20-24 50 LC Meter Butterfly,butterfly,50,men,20-24,final,1
1,Men 25-29 50 LC Meter Butterfly,butterfly,50,men,25-29,final,1
1,Men 30-34 50 LC Meter Butterfly,butterfly,50,men,30-34,final,1
1,Men 35-39 50 LC Meter Butterfly,butterfly,50,men,35-39,final,1
1,Men 40-44 50 LC Meter Butterfly,butterfly,50,men,40-44,final,1
1,Men 45-49 50 LC Meter Butterfly,butterfly,50,men,45-49,final,1
1,Men 50-54 50 LC Meter Butterfly,butterfly,50,men,50-54,final,1
1,Men 55-59 50 LC Meter Butterfly,butterfly,50,men,55-59,final,1
1,Men 60-64 50 LC Meter Butterfly,butterfly,50,men,60-64,final,1
1,Men 65-69 50 LC Meter Butterfly,butterfly,50,men,65-69,final,1
1,Men 70-74 50 LC Meter Butterfly,butterfly,50,men,70-74,final,1
1,Men 75-79 50 LC Meter Butterfly,butterfly,50,men,75-79,final,1
1,Women 25-29 100 LC Meter Backstroke,backstroke,100,women,25-29,final,1
1,Women 30-34 100 LC Meter Backstroke,backstroke,100,women,30-34,final,1
1,Women 35-39 100 LC Meter Backstroke,backstroke,100,women,35-39,final,1
1,Women 40-44 100 LC Meter Backstroke,backstroke,100,women,40-44,final,1
1,Women 45-49 100 LC Meter Backstroke,backstroke,100,women,45-49,final,1
1,Women 50-54 100 LC Meter Backstroke,backstroke,100,women,50-54,final,1
1,Women 55-59 100 LC Meter Backstroke,backstroke,100,women,55-59,final,1
1,Women 60-64 100 LC Meter Backstroke,backstroke,100,women,60-64,final,1
1,Women 65-69 100 LC Meter Backstroke,backstroke,100,women,65-69,final,1
