page_number,line_number,event_name_context,raw_line,reason
2,3,women 45-49 400 LC Meter freestyle,Results,unparsed_inside_event
3,3,men 30-34 400 LC Meter freestyle,Results,unparsed_inside_event
4,3,men 50-54 400 LC Meter freestyle,Results,unparsed_inside_event
5,3,women 25-29 50 LC Meter backstroke,Results,unparsed_inside_event
6,3,women 50-54 50 LC Meter backstroke,Results,unparsed_inside_event
7,3,men 30-34 50 LC Meter backstroke,Results,unparsed_inside_event
8,3,men 55-59 50 LC Meter backstroke,Results,unparsed_inside_event
9,3,women 35-39 50 LC Meter breaststroke,Results,unparsed_inside_event
10,3,women 60-64 50 LC Meter breaststroke,Results,unparsed_inside_event
11,3,men 35-39 50 LC Meter breaststroke,Results,unparsed_inside_event
12,3,men 65-69 50 LC Meter breaststroke,Results,unparsed_inside_event
13,3,women 30-34 50 LC Meter butterfly,Results,unparsed_inside_event
14,3,women 65-69 50 LC Meter butterfly,Results,unparsed_inside_event
15,3,men 35-39 50 LC Meter butterfly,Results,unparsed_inside_event
16,3,men 45-49 50 LC Meter butterfly,Results,unparsed_inside_event
17,3,mixed 120-159 200 LC Meter medley_relay,Results,unparsed_relay_line
18,3,mixed 200-239 200 LC Meter medley_relay,Results,unparsed_relay_line
19,3,women 45-49 200 LC Meter individual_medley,Results,unparsed_inside_event
20,3,men 30-34 200 LC Meter individual_medley,Results,unparsed_inside_event
21,3,men 75-79 200 LC Meter individual_medley,Results,unparsed_inside_event
22,3,women 60-64 100 LC Meter backstroke,Results,unparsed_inside_event
23,3,men 45-49 100 LC Meter backstroke,Results,unparsed_inside_event
24,3,women 30-34 100 LC Meter breaststroke,Results,unparsed_inside_event
25,3,women 65-69 100 LC Meter breaststroke,Results,unparsed_inside_event
26,3,men 40-44 100 LC Meter breaststroke,Results,unparsed_inside_event
27,3,men 80-84 100 LC Meter breaststroke,Results,unparsed_inside_event
28,3,men 35-39 100 LC Meter butterfly,Results,unparsed_inside_event
29,3,women 30-34 100 LC Meter freestyle,Results,unparsed_inside_event
30,3,women 45-49 100 LC Meter freestyle,Results,unparsed_inside_event
31,3,men 25-29 100 LC Meter freestyle,Results,unparsed_inside_event
32,3,men 40-44 100 LC Meter freestyle,Results,unparsed_inside_event
33,3,men 65-69 100 LC Meter freestyle,Results,unparsed_inside_event
34,3,mixed 120-159 200 LC Meter freestyle_relay,Results,unparsed_relay_line
