page_number,line_number,event_number,event_name,relay_team_name,rank_position,seed_time_text,seed_time_ms,result_time_text,result_time_ms,status,raw_line
16,33,5,mixed 100-119 200 LC Meter medley_relay,Stadio Italiano A,1,"2:09,00",129000,"2:13,60",133600,valid,"1 Stadio Italiano A 2:09,00 2:13,60"
16,35,5,mixed 100-119 200 LC Meter medley_relay,Estadio Espanñol A,2,"2:13,00",133000,"2:14,19",134190,valid,"2 Estadio Espanñol A 2:13,00 2:14,19"
16,37,5,mixed 100-119 200 LC Meter medley_relay,Goura Swim Team A,3,"2:10,00",130000,"2:15,66",135660,valid,"3 Goura Swim Team A 2:10,00 2:15,66"
16,39,5,mixed 100-119 200 LC Meter medley_relay,Lozada Swim Team A,4,NT,,"2:17,04",137040,valid,"4 Lozada Swim Team A NT 2:17,04"
16,41,5,mixed 100-119 200 LC Meter medley_relay,Nunoa Master A,5,"2:18,00",138000,"2:23,94",143940,valid,"5 Nunoa Master A 2:18,00 2:23,94"
16,44,5,mixed 120-159 200 LC Meter medley_relay,Lozada Swim Team A,1,NT,,"2:10,70",130700,valid,"1 Lozada Swim Team A NT 2:10,70"
16,46,5,mixed 120-159 200 LC Meter medley_relay,Stadio Italiano A,2,"2:08,00",128000,"2:11,86",131860,valid,"2 Stadio Italiano A 2:08,00 2:11,86"
16,48,5,mixed 120-159 200 LC Meter medley_relay,Nunoa Master A,3,"2:24,00",144000,"2:12,67",132670,valid,"3 Nunoa Master A 2:24,00 2:12,67"
16,50,5,mixed 120-159 200 LC Meter medley_relay,Goura Swim Team A,4,"2:10,00",130000,"2:19,13",139130,valid,"4 Goura Swim Team A 2:10,00 2:19,13"
16,52,5,mixed 120-159 200 LC Meter medley_relay,Ironswim Master A,5,NT,,"2:23,32",143320,valid,"5 Ironswim Master A NT 2:23,32"
17,5,5,mixed 120-159 200 LC Meter medley_relay,Copiapo Swim A,6,NT,,"2:25,46",145460,valid,"6 Copiapo Swim A NT 2:25,46"
17,7,5,mixed 120-159 200 LC Meter medley_relay,Cien por Ciento Swim A,7,NT,,"2:30,55",150550,valid,"7 Cien por Ciento Swim A NT 2:30,55"
17,9,5,mixed 120-159 200 LC Meter medley_relay,Condrictios Team A,8,"3:30,00",210000,"2:48,45",168450,valid,"8 Condrictios Team A 3:30,00 2:48,45"
17,11,5,mixed 120-159 200 LC Meter medley_relay,Aguila Natacion A,9,"3:20,00",200000,"2:57,24",177240,valid,"9 Aguila Natacion A 3:20,00 2:57,24"
17,13,5,mixed 120-159 200 LC Meter medley_relay,Nunoa Master B,10,"3:15,00",195000,"2:57,97",177970,valid,"10 Nunoa Master B 3:15,00 2:57,97"
17,15,5,mixed 120-159 200 LC Meter medley_relay,Squadra Proswim B,11,"2:40,00",160000,"2:58,39",178390,valid,"11 Squadra Proswim B 2:40,00 2:58,39"
17,17,5,mixed 120-159 200 LC Meter medley_relay,CS Maipu A,12,"4:03,00",243000,"3:00,96",180960,valid,"12 CS Maipu A 4:03,00 3:00,96"
17,19,5,mixed 120-159 200 LC Meter medley_relay,Orinoco Swim Team A,13,"3:20,00",200000,"3:12,25",192250,valid,"13 Orinoco Swim Team A 3:20,00 3:12,25"
17,21,5,mixed 120-159 200 LC Meter medley_relay,Squadra Proswim A,,"1:59,00",119000,DQ,,dsq,"--- Squadra Proswim A 1:59,00 DQ"
17,24,5,mixed 160-199 200 LC Meter medley_relay,Lozada Swim Team A,1,NT,,"2:18,87",138870,valid,"1 Lozada Swim Team A NT 2:18,87"
17,26,5,mixed 160-199 200 LC Meter medley_relay,Nunoa Master A,2,"2:50,00",170000,"2:21,70",141700,valid,"2 Nunoa Master A 2:50,00 2:21,70"
