page_number,line_number,event_number,event_name,athlete_name,age_at_event,birth_year_estimated,club_name,rank_position,seed_time_text,seed_time_ms,result_time_text,result_time_ms,status,raw_line
1,6,1,women 20-24 400 LC Meter freestyle,"Zunñiga, Catalina",21,2005,Santiago Deportes,1,"6:50,00",410000,"6:39,75",399750,valid,"1 Zunñiga, Catalina 21 Santiago Deportes 6:50,00 6:39,75"
1,7,1,women 20-24 400 LC Meter freestyle,"Gonzalez, Constanza",24,2002,Nunoa Master,2,"7:00,60",420600,"6:40,14",400140,valid,"2 Gonzalez, Constanza 24 Nunoa Master 7:00,60 6:40,14"
1,9,1,women 25-29 400 LC Meter freestyle,"Quispe, Nicole",28,1998,Goura Swim Team,1,"6:10,00",370000,"6:22,06",382060,valid,"1 Quispe, Nicole 28 Goura Swim Team 6:10,00 6:22,06"
1,10,1,women 25-29 400 LC Meter freestyle,"Aliste, Camila",28,1998,Goura Swim Team,2,"6:00,00",360000,"6:30,52",390520,valid,"2 Aliste, Camila 28 Goura Swim Team 6:00,00 6:30,52"
1,11,1,women 25-29 400 LC Meter freestyle,"Torres, Magdalena",27,1999,CS Maipu,3,"6:39,54",399540,"6:52,69",412690,valid,"3 Torres, Magdalena 27 CS Maipu 6:39,54 6:52,69"
1,12,1,women 25-29 400 LC Meter freestyle,"Rangel, Gabriela",26,2000,Lozada Swim Team,4,"6:00,50",360500,"7:06,19",426190,valid,"4 Rangel, Gabriela 26 Lozada Swim Team 6:00,50 7:06,19"
1,13,1,women 25-29 400 LC Meter freestyle,"Bravo, Alejandra",25,2001,Lozada Swim Team,5,"8:00,00",480000,"8:02,18",482180,valid,"5 Bravo, Alejandra 25 Lozada Swim Team 8:00,00 8:02,18"
1,15,1,women 30-34 400 LC Meter freestyle,"Banchieri, Macarena",30,1996,Stadio Italiano,1,"6:00,00",360000,"5:47,62",347620,valid,"1 Banchieri, Macarena 30 Stadio Italiano 6:00,00 5:47,62"
1,16,1,women 30-34 400 LC Meter freestyle,"Stefanelli, Magdalena",33,1993,Stadio Italiano,2,"6:20,00",380000,"6:10,48",370480,valid,"2 Stefanelli, Magdalena 33 Stadio Italiano 6:20,00 6:10,48"
1,17,1,women 30-34 400 LC Meter freestyle,"Badilla, Estefania",30,1996,Aquamaster Chillan,3,"5:46,00",346000,"6:12,13",372130,valid,"3 Badilla, Estefania 30 Aquamaster Chillan 5:46,00 6:12,13"
1,18,1,women 30-34 400 LC Meter freestyle,"Zamora, Barbara",30,1996,Master Vitacura,4,"6:30,00",390000,"6:16,38",376380,valid,"4 Zamora, Barbara 30 Master Vitacura 6:30,00 6:16,38"
1,19,1,women 30-34 400 LC Meter freestyle,"Covarrubias, Paula",33,1993,Goura Swim Team,5,"6:00,00",360000,"6:35,57",395570,valid,"5 Covarrubias, Paula 33 Goura Swim Team 6:00,00 6:35,57"
1,20,1,women 30-34 400 LC Meter freestyle,"Escudero, Francesca",31,1995,Lozada Swim Team,6,"6:20,00",380000,"7:00,49",420490,valid,"6 Escudero, Francesca 31 Lozada Swim Team 6:20,00 7:00,49"
1,21,1,women 30-34 400 LC Meter freestyle,"Barria, Jazmin",33,1993,Manateam Swim,7,"8:00,00",480000,"7:46,46",466460,valid,"7 Barria, Jazmin 33 Manateam Swim 8:00,00 7:46,46"
