page_number,line_number,event_number,event_name,athlete_name,age_at_event,birth_year_estimated,club_name,rank_position,seed_time_text,seed_time_ms,result_time_text,result_time_ms,status,raw_line
1,6,1,women 19 & Under 200 SC Meter freestyle,"Trabazo, Guadalupe",19,2007,Andes Talleres,1,"3:05,00",185000,"3:08,71",188710,valid,"1 Trabazo, Guadalupe 19 Andes Talleres 3:05.00 3:08.71 9"
1,8,1,women 20-24 200 SC Meter freestyle,"Muchut Moyano, Rocíío Alumine í",24,2002,Club Sparta A.C.,1,"2:29,51",149510,"2:28,09",148090,valid,"1 Muchut Moyano, Rocíío Alumine í 24 Club Sparta A.C. 2:29.51 2:28.09 9"
1,9,1,women 20-24 200 SC Meter freestyle,"Gavilucci, Valentina",24,2002,Club Sparta A.C.,2,"3:58,44",238440,"3:17,64",197640,valid,"2 Gavilucci, Valentina 24 Club Sparta A.C. 3:58.44 3:17.64 7"
1,11,1,women 25-29 200 SC Meter freestyle,"Pavio Civit, Natalia",26,2000,Club Sparta A.C.,1,"2:35,47",155470,"2:25,21",145210,valid,"1 Pavio Civit, Natalia 26 Club Sparta A.C. 2:35.47 2:25.21 9"
1,12,1,women 25-29 200 SC Meter freestyle,"Mellado, Ana Laura",25,2001,Aquaclub Maipu,2,"2:43,06",163060,"2:50,44",170440,valid,"2 Mellado, Ana Laura 25 Aquaclub Maipu 2:43.06 2:50.44 7"
1,13,1,women 25-29 200 SC Meter freestyle,"Arce, Aisha",28,1998,Club Sparta A.C.,3,"2:57,14",177140,"2:54,07",174070,valid,"3 Arce, Aisha 28 Club Sparta A.C. 2:57.14 2:54.07 6"
1,14,1,women 25-29 200 SC Meter freestyle,"Gargantini, Agostina",25,2001,Club Sparta A.C.,4,"3:19,14",199140,"3:09,81",189810,valid,"4 Gargantini, Agostina 25 Club Sparta A.C. 3:19.14 3:09.81 5"
1,15,1,women 25-29 200 SC Meter freestyle,"Galetto, Ornella",26,2000,Club Sparta A.C.,5,"3:32,14",212140,"3:18,35",198350,valid,"5 Galetto, Ornella 26 Club Sparta A.C. 3:32.14 3:18.35 4"
1,16,1,women 25-29 200 SC Meter freestyle,"Herrera, Amparo",29,1997,Club Sparta A.C.,6,"3:57,61",237610,"3:19,24",199240,valid,"6 Herrera, Amparo 29 Club Sparta A.C. 3:57.61 3:19.24 3"
1,17,1,women 25-29 200 SC Meter freestyle,"Faríías, Tiare",27,1999,Pedro Aguirre Cerda,7,"3:33,00",213000,"3:25,99",205990,valid,"7 Faríías, Tiare 27 Pedro Aguirre Cerda 3:33.00 3:25.99 2"
1,18,1,women 25-29 200 SC Meter freestyle,"Escudero, Ailen",28,1998,Club Sparta A.C.,8,"4:15,21",255210,"3:26,17",206170,valid,"8 Escudero, Ailen 28 Club Sparta A.C. 4:15.21 3:26.17 1"
1,19,1,women 25-29 200 SC Meter freestyle,"Funes, Carolina",25,2001,Club Sparta A.C.,9,"3:39,45",219450,"3:35,74",215740,valid,"9 Funes, Carolina 25 Club Sparta A.C. 3:39.45 3:35.74"
1,21,1,women 30-34 200 SC Meter freestyle,"Monassa, Emeli",34,1992,Club Sparta A.C.,1,"2:40,28",160280,"2:44,26",164260,valid,"1 Monassa, Emeli 34 Club Sparta A.C. 2:40.28 2:44.26 9"
1,22,1,women 30-34 200 SC Meter freestyle,"Mauad, Yamile",30,1996,Club Sparta A.C.,2,"3:02,70",182700,"2:50,28",170280,valid,"2 Mauad, Yamile 30 Club Sparta A.C. 3:02.70 2:50.28 7"
1,23,1,women 30-34 200 SC Meter freestyle,"Garin, Emilia",34,1992,Club Sparta A.C.,3,"3:13,50",193500,"2:59,63",179630,valid,"3 Garin, Emilia 34 Club Sparta A.C. 3:13.50 2:59.63 6"
1,24,1,women 30-34 200 SC Meter freestyle,"Badui, Nahir",31,1995,Club Sparta A.C.,4,"3:03,15",183150,"3:05,70",185700,valid,"4 Badui, Nahir 31 Club Sparta A.C. 3:03.15 3:05.70 5"
1,25,1,women 30-34 200 SC Meter freestyle,"Sanchez, Johana",31,1995,Aquaclub Maipu,5,"3:12,69",192690,"3:11,86",191860,valid,"5 Sanchez, Johana 31 Aquaclub Maipu 3:12.69 3:11.86 4"
1,26,1,women 30-34 200 SC Meter freestyle,"Chavez, Roxana",34,1992,Club Sparta A.C.,6,"3:55,63",235630,"3:25,22",205220,valid,"6 Chavez, Roxana 34 Club Sparta A.C. 3:55.63 3:25.22 3"
1,27,1,women 30-34 200 SC Meter freestyle,"Alvarez, Samanta",30,1996,Club Sparta A.C.,7,"3:57,12",237120,"3:44,37",224370,valid,"7 Alvarez, Samanta 30 Club Sparta A.C. 3:57.12 3:44.37 2"
1,28,1,women 30-34 200 SC Meter freestyle,"Arancibia, Virginia",31,1995,Club Sparta A.C.,8,"3:49,85",229850,"3:46,89",226890,valid,"8 Arancibia, Virginia 31 Club Sparta A.C. 3:49.85 3:46.89 1"
1,29,1,women 30-34 200 SC Meter freestyle,"Revello, Michelle",31,1995,Pedro Aguirre Cerda,9,"4:07,40",247400,"4:08,18",248180,valid,"9 Revello, Michelle 31 Pedro Aguirre Cerda 4:07.40 4:08.18"
1,31,1,women 35-39 200 SC Meter freestyle,"Martin, Anita",38,1988,Andes Talleres,1,"3:15,00",195000,"3:00,74",180740,valid,"1 Martin, Anita 38 Andes Talleres 3:15.00 3:00.74 9"
1,32,1,women 35-39 200 SC Meter freestyle,"Radivoy, Maria E",39,1987,Andes Talleres,2,"3:20,00",200000,"3:07,53",187530,valid,"2 Radivoy, Maria E 39 Andes Talleres 3:20.00 3:07.53 7"
1,33,1,women 35-39 200 SC Meter freestyle,"Ortubia, Natalia",38,1988,Club Sparta A.C.,3,"4:05,12",245120,"3:59,19",239190,valid,"3 Ortubia, Natalia 38 Club Sparta A.C. 4:05.12 3:59.19 6"
1,35,1,women 40-44 200 SC Meter freestyle,"Cabeza, Maria Belen",40,1986,Andes Talleres,1,"2:29,21",149210,"2:30,58",150580,valid,"1 Cabeza, Maria Belen 40 Andes Talleres 2:29.21 2:30.58 9"
1,36,1,women 40-44 200 SC Meter freestyle,"Rodriguez, Diana",41,1985,NÑ unñoa Master,2,"3:20,00",200000,"3:12,24",192240,valid,"2 Rodriguez, Diana 41 NÑ unñoa Master 3:20.00 3:12.24 7"
1,37,1,women 40-44 200 SC Meter freestyle,"Espinosa, Analia L",41,1985,Club DE Natacion Atlantis,3,"3:20,00",200000,"3:14,29",194290,valid,"3 Espinosa, Analia L 41 Club DE Natacion Atlantis 3:20.00 3:14.29 6"
1,38,1,women 40-44 200 SC Meter freestyle,"Bisson, Natali",40,1986,Andes Talleres,4,"3:30,00",210000,"3:17,59",197590,valid,"4 Bisson, Natali 40 Andes Talleres 3:30.00 3:17.59 5"
