event_name,relay_team_name,rank_position,seed_time_text,seed_time_ms,result_time_text,result_time_ms,status,source_id,page_number,line_number
women 80-99 4x50 SC Meter medley_relay,Club Sparta A.C. A,1,NT,,"3:01,39",181390,valid,5,14,10
women 100-119 4x50 SC Meter medley_relay,Andes Talleres A,1,NT,,"2:26,30",146300,valid,5,14,13
women 100-119 4x50 SC Meter medley_relay,Club Sparta A.C. A,2,NT,,"2:26,74",146740,valid,5,14,15
women 100-119 4x50 SC Meter medley_relay,Pedro Aguirre Cerda A,3,NT,,"2:57,54",177540,valid,5,14,17
women 120-159 4x50 SC Meter medley_relay,Club Sparta A.C. A,1,NT,,"2:49,01",169010,valid,5,14,20
women 120-159 4x50 SC Meter medley_relay,Agua Plena San Rafael A,2,NT,,"3:17,42",197420,valid,5,14,22
women 120-159 4x50 SC Meter medley_relay,Club DE Natacion Atlantis A,3,NT,,"3:18,24",198240,valid,5,14,24
women 160-199 4x50 SC Meter medley_relay,Club Sparta A.C. A,1,NT,,"3:21,16",201160,valid,5,14,27
women 200-239 4x50 SC Meter medley_relay,Master Providencia Chile A,1,NT,,"2:58,66",178660,valid,5,14,30
men 80-99 4x50 SC Meter medley_relay,Club Sparta A.C. A,1,NT,,"2:06,05",126050,valid,5,14,33
men 80-99 4x50 SC Meter medley_relay,Andes Talleres A,2,NT,,"2:08,30",128300,valid,5,14,35
men 100-119 4x50 SC Meter medley_relay,Pedro Aguirre Cerda A,1,NT,,"2:13,85",133850,valid,5,14,38
men 100-119 4x50 SC Meter medley_relay,Club Sparta A.C. A,2,NT,,"2:46,43",166430,valid,5,14,40
men 120-159 4x50 SC Meter medley_relay,Andes Talleres A,1,NT,,"2:12,47",132470,valid,5,14,43
men 120-159 4x50 SC Meter medley_relay,Club Sparta A.C. A,2,NT,,"2:18,57",138570,valid,5,14,45
men 120-159 4x50 SC Meter medley_relay,Agua Plena San Rafael A,3,NT,,"2:42,24",162240,valid,5,14,47
men 160-199 4x50 SC Meter medley_relay,Andes Talleres A,1,NT,,"2:24,78",144780,valid,5,14,50
men 160-199 4x50 SC Meter medley_relay,Club Sparta A.C. A,2,NT,,"2:33,35",153350,valid,5,15,5
men 200-239 4x50 SC Meter medley_relay,Master Providencia Chile A,1,NT,,"2:43,14",163140,valid,5,15,8
men 200-239 4x50 SC Meter medley_relay,Club Sparta A.C. A,2,NT,,"2:50,30",170300,valid,5,15,10
men 200-239 4x50 SC Meter medley_relay,NÑ unñoa Master A,3,NT,,"4:19,61",259610,valid,5,15,12
men 280-319 4x50 SC Meter medley_relay,Penñalolen Master A,,NT,,DQ,,dsq,5,15,15
women 100-119 4x50 SC Meter freestyle_relay,Aquaclub Maipu A,1,NT,,"2:12,04",132040,valid,5,15,18
women 100-119 4x50 SC Meter freestyle_relay,Club Sparta A.C. A,2,NT,,"2:51,73",171730,valid,5,15,20
women 160-199 4x50 SC Meter freestyle_relay,Club Sparta A.C. A,1,NT,,"3:15,65",195650,valid,5,15,23
women 240-279 4x50 SC Meter freestyle_relay,Andes Talleres A,1,NT,,"4:33,25",273250,valid,5,15,26
men 100-119 4x50 SC Meter freestyle_relay,Aquaclub Maipu A,1,NT,,"2:09,81",129810,valid,5,15,29
men 100-119 4x50 SC Meter freestyle_relay,Pedro Aguirre Cerda A,2,NT,,"2:13,07",133070,valid,5,15,31
men 100-119 4x50 SC Meter freestyle_relay,Club Azul Natacion Mendoza A,,NT,,DNF,,dnf,5,15,33
men 120-159 4x50 SC Meter freestyle_relay,Aquaclub Maipu A,1,NT,,"1:56,06",116060,valid,5,15,36
men 120-159 4x50 SC Meter freestyle_relay,Club Sparta A.C. A,2,NT,,"2:10,60",130600,valid,5,15,38
men 160-199 4x50 SC Meter freestyle_relay,Club Sparta A.C. A,1,NT,,"2:37,61",157610,valid,5,15,41
men 160-199 4x50 SC Meter freestyle_relay,Aquaclub Maipu C,2,NT,,"2:40,24",160240,valid,5,15,43
men 160-199 4x50 SC Meter freestyle_relay,Club Azul Natacion Mendoza A,,NT,,DNF,,dnf,5,15,45
