competition_id,event_name,stroke,distance_m,gender,age_group,round_type,source_id
3,women 19 & Under 200 SC Meter freestyle,freestyle,200,women,19 & Under,final,5
3,women 20-24 200 SC Meter freestyle,freestyle,200,women,20-24,final,5
3,women 25-29 200 SC Meter freestyle,freestyle,200,women,25-29,final,5
3,women 30-34 200 SC Meter freestyle,freestyle,200,women,30-34,final,5
3,women 35-39 200 SC Meter freestyle,freestyle,200,women,35-39,final,5
3,women 40-44 200 SC Meter freestyle,freestyle,200,women,40-44,final,5
3,women 45-49 200 SC Meter freestyle,freestyle,200,women,45-49,final,5
3,women 50-54 200 SC Meter freestyle,freestyle,200,women,50-54,final,5
3,women 55-59 200 SC Meter freestyle,freestyle,200,women,55-59,final,5
3,women 60-64 200 SC Meter freestyle,freestyle,200,women,60-64,final,5
3,women 65-69 200 SC Meter freestyle,freestyle,200,women,65-69,final,5
3,women 70-74 200 SC Meter freestyle,freestyle,200,women,70-74,final,5
3,women 90-94 200 SC Meter freestyle,freestyle,200,women,90-94,final,5
3,men 19 & Under 200 SC Meter freestyle,freestyle,200,men,19 & Under,final,5
3,men 20-24 200 SC Meter freestyle,freestyle,200,men,20-24,final,5
3,men 25-29 200 SC Meter freestyle,freestyle,200,men,25-29,final,5
3,men 30-34 200 SC Meter freestyle,freestyle,200,men,30-34,final,5
3,men 35-39 200 SC Meter freestyle,freestyle,200,men,35-39,final,5
3,men 40-44 200 SC Meter freestyle,freestyle,200,men,40-44,final,5
3,men 45-49 200 SC Meter freestyle,freestyle,200,men,45-49,final,5
3,men 50-54 200 SC Meter freestyle,freestyle,200,men,50-54,final,5
3,men 55-59 200 SC Meter freestyle,freestyle,200,men,55-59,final,5
3,men 60-64 200 SC Meter freestyle,freestyle,200,men,60-64,final,5
3,men 65-69 200 SC Meter freestyle,freestyle,200,men,65-69,final,5
3,men 70-74 200 SC Meter freestyle,freestyle,200,men,70-74,final,5
3,women 19 & Under 100 SC Meter butterfly,butterfly,100,women,19 & Under,final,5
3,women 20-24 100 SC Meter butterfly,butterfly,100,women,20-24,final,5
3,women 25-29 100 SC Meter butterfly,butterfly,100,women,25-29,final,5
3,women 30-34 100 SC Meter butterfly,butterfly,100,women,30-34,final,5
3,women 35-39 100 SC Meter butterfly,butterfly,100,women,35-39,final,5
3,women 40-44 100 SC Meter butterfly,butterfly,100,women,40-44,final,5
3,women 45-49 100 SC Meter butterfly,butterfly,100,women,45-49,final,5
3,women 50-54 100 SC Meter butterfly,butterfly,100,women,50-54,final,5
3,women 60-64 100 SC Meter butterfly,butterfly,100,women,60-64,final,5
3,women 65-69 100 SC Meter butterfly,butterfly,100,women,65-69,final,5
3,women 70-74 100 SC Meter butterfly,butterfly,100,women,70-74,final,5
3,men 19 & Under 100 SC Meter butterfly,butterfly,100,men,19 & Under,final,5
3,men 20-24 100 SC Meter butterfly,butterfly,100,men,20-24,final,5
3,men 25-29 100 SC Meter butterfly,butterfly,100,men,25-29,final,5
3,men 30-34 100 SC Meter butterfly,butterfly,100,men,30-34,final,5
3,men 35-39 100 SC Meter butterfly,butterfly,100,men,35-39,final,5
3,men 40-44 100 SC Meter butterfly,butterfly,100,men,40-44,final,5
3,men 45-49 100 SC Meter butterfly,butterfly,100,men,45-49,final,5
3,men 50-54 100 SC Meter butterfly,butterfly,100,men,50-54,final,5
3,men 55-59 100 SC Meter butterfly,butterfly,100,men,55-59,final,5
3,men 60-64 100 SC Meter butterfly,butterfly,100,men,60-64,final,5
3,men 65-69 100 SC Meter butterfly,butterfly,100,men,65-69,final,5
3,women 19 & Under 50 SC Meter backstroke,backstroke,50,women,19 & Under,final,5
3,women 20-24 50 SC Meter backstroke,backstroke,50,women,20-24,final,5
3,women 25-29 50 SC Meter backstroke,backstroke,50,women,25-29,final,5
3,women 30-34 50 SC Meter backstroke,backstroke,50,women,30-34,final,5
3,women 35-39 50 SC Meter backstroke,backstroke,50,women,35-39,final,5
3,women 40-44 50 SC Meter backstroke,backstroke,50,women,40-44,final,5
3,women 45-49 50 SC Meter backstroke,backstroke,50,women,45-49,final,5
3,women 55-59 50 SC Meter backstroke,backstroke,50,women,55-59,final,5
3,women 60-64 50 SC Meter backstroke,backstroke,50,women,60-64,final,5
3,women 70-74 50 SC Meter backstroke,backstroke,50,women,70-74,final,5
3,women 75-79 50 SC Meter backstroke,backstroke,50,women,75-79,final,5
3,women 90-94 50 SC Meter backstroke,backstroke,50,women,90-94,final,5
3,men 19 & Under 50 SC Meter backstroke,backstroke,50,men,19 & Under,final,5
3,men 20-24 50 SC Meter backstroke,backstroke,50,men,20-24,final,5
3,men 25-29 50 SC Meter backstroke,backstroke,50,men,25-29,final,5
3,men 30-34 50 SC Meter backstroke,backstroke,50,men,30-34,final,5
3,men 35-39 50 SC Meter backstroke,backstroke,50,men,35-39,final,5
3,men 40-44 50 SC Meter backstroke,backstroke,50,men,40-44,final,5
3,men 45-49 50 SC Meter backstroke,backstroke,50,men,45-49,final,5
3,men 50-54 50 SC Meter backstroke,backstroke,50,men,50-54,final,5
3,men 55-59 50 SC Meter backstroke,backstroke,50,men,55-59,final,5
3,men 60-64 50 SC Meter backstroke,backstroke,50,men,60-64,final,5
3,men 65-69 50 SC Meter backstroke,backstroke,50,men,65-69,final,5
3,men 70-74 50 SC Meter backstroke,backstroke,50,men,70-74,final,5
3,men 75-79 50 SC Meter backstroke,backstroke,50,men,75-79,final,5
3,men 80-84 50 SC Meter backstroke,backstroke,50,men,80-84,final,5
3,women 19 & Under 100 SC Meter breaststroke,breaststroke,100,women,19 & Under,final,5
3,women 20-24 100 SC Meter breaststroke,breaststroke,100,women,20-24,final,5
3,women 25-29 100 SC Meter breaststroke,breaststroke,100,women,25-29,final,5
3,women 30-34 100 SC Meter breaststroke,breaststroke,100,women,30-34,final,5
3,women 35-39 100 SC Meter breaststroke,breaststroke,100,women,35-39,final,5
3,women 40-44 100 SC Meter breaststroke,breaststroke,100,women,40-44,final,5
3,women 45-49 100 SC Meter breaststroke,breaststroke,100,women,45-49,final,5
3,women 50-54 100 SC Meter breaststroke,breaststroke,100,women,50-54,final,5
3,women 55-59 100 SC Meter breaststroke,breaststroke,100,women,55-59,final,5
3,women 60-64 100 SC Meter breaststroke,breaststroke,100,women,60-64,final,5
3,women 70-74 100 SC Meter breaststroke,breaststroke,100,women,70-74,final,5
3,women 75-79 100 SC Meter breaststroke,breaststroke,100,women,75-79,final,5
3,men 19 & Under 100 SC Meter breaststroke,breaststroke,100,men,19 & Under,final,5
3,men 20-24 100 SC Meter breaststroke,breaststroke,100,men,20-24,final,5
3,men 25-29 100 SC Meter breaststroke,breaststroke,100,men,25-29,final,5
3,men 30-34 100 SC Meter breaststroke,breaststroke,100,men,30-34,final,5
3,men 35-39 100 SC Meter breaststroke,breaststroke,100,men,35-39,final,5
3,men 40-44 100 SC Meter breaststroke,breaststroke,100,men,40-44,final,5
3,men 45-49 100 SC Meter breaststroke,breaststroke,100,men,45-49,final,5
3,men 50-54 100 SC Meter breaststroke,breaststroke,100,men,50-54,final,5
3,men 55-59 100 SC Meter breaststroke,breaststroke,100,men,55-59,final,5
3,men 60-64 100 SC Meter breaststroke,breaststroke,100,men,60-64,final,5
3,men 65-69 100 SC Meter breaststroke,breaststroke,100,men,65-69,final,5
3,men 75-79 100 SC Meter breaststroke,breaststroke,100,men,75-79,final,5
3,women 19 & Under 50 SC Meter freestyle,freestyle,50,women,19 & Under,final,5
3,women 20-24 50 SC Meter freestyle,freestyle,50,women,20-24,final,5
3,women 25-29 50 SC Meter freestyle,freestyle,50,women,25-29,final,5
3,women 30-34 50 SC Meter freestyle,freestyle,50,women,30-34,final,5
3,women 35-39 50 SC Meter freestyle,freestyle,50,women,35-39,final,5
3,women 40-44 50 SC Meter freestyle,freestyle,50,women,40-44,final,5
3,women 45-49 50 SC Meter freestyle,freestyle,50,women,45-49,final,5
3,women 55-59 50 SC Meter freestyle,freestyle,50,women,55-59,final,5
3,women 60-64 50 SC Meter freestyle,freestyle,50,women,60-64,final,5
3,women 65-69 50 SC Meter freestyle,freestyle,50,women,65-69,final,5
3,women 70-74 50 SC Meter freestyle,freestyle,50,women,70-74,final,5
3,women 75-79 50 SC Meter freestyle,freestyle,50,women,75-79,final,5
3,women 90-94 50 SC Meter freestyle,freestyle,50,women,90-94,final,5
3,men 19 & Under 50 SC Meter freestyle,freestyle,50,men,19 & Under,final,5
3,men 20-24 50 SC Meter freestyle,freestyle,50,men,20-24,final,5
3,men 25-29 50 SC Meter freestyle,freestyle,50,men,25-29,final,5
3,men 30-34 50 SC Meter freestyle,freestyle,50,men,30-34,final,5
3,men 35-39 50 SC Meter freestyle,freestyle,50,men,35-39,final,5
3,men 40-44 50 SC Meter freestyle,freestyle,50,men,40-44,final,5
3,men 45-49 50 SC Meter freestyle,freestyle,50,men,45-49,final,5
3,men 50-54 50 SC Meter freestyle,freestyle,50,men,50-54,final,5
3,men 55-59 50 SC Meter freestyle,freestyle,50,men,55-59,final,5
3,men 60-64 50 SC Meter freestyle,freestyle,50,men,60-64,final,5
3,men 65-69 50 SC Meter freestyle,freestyle,50,men,65-69,final,5
3,men 70-74 50 SC Meter freestyle,freestyle,50,men,70-74,final,5
3,men 75-79 50 SC Meter freestyle,freestyle,50,men,75-79,final,5
3,men 80-84 50 SC Meter freestyle,freestyle,50,men,80-84,final,5
3,women 80-99 4x50 SC Meter medley_relay,medley_relay,200,women,80-99,final,5
3,women 100-119 4x50 SC Meter medley_relay,medley_relay,200,women,100-119,final,5
3,women 120-159 4x50 SC Meter medley_relay,medley_relay,200,women,120-159,final,5
3,women 160-199 4x50 SC Meter medley_relay,medley_relay,200,women,160-199,final,5
3,women 200-239 4x50 SC Meter medley_relay,medley_relay,200,women,200-239,final,5
3,men 80-99 4x50 SC Meter medley_relay,medley_relay,200,men,80-99,final,5
3,men 100-119 4x50 SC Meter medley_relay,medley_relay,200,men,100-119,final,5
3,men 120-159 4x50 SC Meter medley_relay,medley_relay,200,men,120-159,final,5
3,men 160-199 4x50 SC Meter medley_relay,medley_relay,200,men,160-199,final,5
3,men 200-239 4x50 SC Meter medley_relay,medley_relay,200,men,200-239,final,5
3,men 280-319 4x50 SC Meter medley_relay,medley_relay,200,men,280-319,final,5
3,women 100-119 4x50 SC Meter freestyle_relay,freestyle_relay,200,women,100-119,final,5
3,women 160-199 4x50 SC Meter freestyle_relay,freestyle_relay,200,women,160-199,final,5
3,women 240-279 4x50 SC Meter freestyle_relay,freestyle_relay,200,women,240-279,final,5
3,men 100-119 4x50 SC Meter freestyle_relay,freestyle_relay,200,men,100-119,final,5
3,men 120-159 4x50 SC Meter freestyle_relay,freestyle_relay,200,men,120-159,final,5
3,men 160-199 4x50 SC Meter freestyle_relay,freestyle_relay,200,men,160-199,final,5
