name,short_name,city,region,source_id
Orinoco Swim,,,,1
Aquaclub Maipu,,,,1
Peñalolen Master,,,,1
Master Providencia,,,,1
Calambre Swim Team,,,,1
100 por Ciento Swim,,,,1
Club Deportivo UC,,,,1
Pedro Aguirre Cerda,,,,1
Golden,,,,1
Natacion Master Recoleta,,,,1
Nunoa Master,,,,1
Club Koyaique,,,,1
Azul Natacion Mendoza,,,,1
Natacion Master Buin,,,,1
Agua Plena San Rafael,,,,1
Nielol,,,,1
Ciudad de Mendoza,,,,1
Area Club San Luis,,,,1
Iron Swim Master,,,,1
Master San Bernardo,,,,1
Master Vitacura Swim,,,,1
Africa Natacion,,,,1
