page_number,line_number,event_number,event_name,relay_team_name,rank_position,seed_time_text,seed_time_ms,result_time_text,result_time_ms,status,points,raw_line
15,13,11,mixed 100-119 200 LC Meter freestyle_relay,Aquaclub Maipu A,1,NT,,"2:04,76",124760,valid,,"1 Aquaclub Maipu A NT 2:04,76"
15,16,11,mixed 120-159 200 LC Meter freestyle_relay,Nunoa Master A,1,"2:03,00",123000,"2:05,87",125870,valid,,"1 Nunoa Master A 2:03,00 2:05,87"
15,18,11,mixed 120-159 200 LC Meter freestyle_relay,Aquaclub Maipu A,2,NT,,"2:32,94",152940,valid,,"2 Aquaclub Maipu A NT 2:32,94"
15,21,11,mixed 160-199 200 LC Meter freestyle_relay,Club Deportivo UC A,1,"1:48,96",108960,"2:29,40",149400,valid,,"1 Club Deportivo UC A 1:48,96 2:29,40"
15,23,11,mixed 160-199 200 LC Meter freestyle_relay,Pedro Aguirre Cerda A,2,"2:58,00",178000,"2:48,79",168790,valid,,"2 Pedro Aguirre Cerda A 2:58,00 2:48,79"
15,25,11,mixed 160-199 200 LC Meter freestyle_relay,Master Providencia A,3,"3:50,00",230000,"2:53,56",173560,valid,,"3 Master Providencia A 3:50,00 2:53,56"
15,27,11,mixed 160-199 200 LC Meter freestyle_relay,Natacion Master Recoleta A,4,"4:25,00",265000,"3:10,97",190970,valid,,"4 Natacion Master Recoleta A 4:25,00 3:10,97"
15,30,11,mixed 200-239 200 LC Meter freestyle_relay,Natacion Master Recoleta A,1,"4:05,00",245000,"3:04,77",184770,valid,,"1 Natacion Master Recoleta A 4:05,00 3:04,77"
15,33,11,mixed 240-279 200 LC Meter freestyle_relay,Peñalolen Master A,1,"4:00,00",240000,"2:46,36",166360,valid,,"1 Penñalolen Master A 4:00,00 2:46,36"
15,35,11,mixed 240-279 200 LC Meter freestyle_relay,Master Providencia A,2,"5:00,00",300000,"4:00,59",240590,valid,,"2 Master Providencia A 5:00,00 4:00,59"
15,37,11,mixed 240-279 200 LC Meter freestyle_relay,Nunoa Master A,3,"3:50,00",230000,"4:04,21",244210,valid,,"3 Nunoa Master A 3:50,00 4:04,21"
15,40,12,mixed 100-119 200 LC Meter medley_relay,Pedro Aguirre Cerda A,1,"2:37,00",157000,"2:43,69",163690,valid,,"1 Pedro Aguirre Cerda A 2:37,00 2:43,69"
15,42,12,mixed 100-119 200 LC Meter medley_relay,Peñalolen Master A,2,"3:00,00",180000,"2:52,66",172660,valid,,"2 Penñalolen Master A 3:00,00 2:52,66"
15,45,12,mixed 120-159 200 LC Meter medley_relay,Natacion Master Recoleta A,1,"3:00,00",180000,"2:47,77",167770,valid,,"1 Natacion Master Recoleta A 3:00,00 2:47,77"
15,47,12,mixed 120-159 200 LC Meter medley_relay,100 por Ciento Swim A,2,"3:00,00",180000,"2:48,33",168330,valid,,"2 100 por Ciento Swim A 3:00,00 2:48,33"
15,49,12,mixed 120-159 200 LC Meter medley_relay,Azul Natacion Mendoza A,3,NT,,"3:18,34",198340,valid,,"3 Azul Natacion Mendoza A NT 3:18,34"
16,5,12,mixed 160-199 200 LC Meter medley_relay,Master Providencia A,1,"2:20,00",140000,"2:25,56",145560,valid,,"1 Master Providencia A 2:20,00 2:25,56"
16,7,12,mixed 160-199 200 LC Meter medley_relay,Nunoa Master A,2,"2:33,00",153000,"2:26,41",146410,valid,,"2 Nunoa Master A 2:33,00 2:26,41"
16,9,12,mixed 160-199 200 LC Meter medley_relay,Peñalolen Master A,,"4:00,00",240000,DQ,,dsq,,"--- Penñalolen Master A 4:00,00 DQ"
16,12,12,mixed 200-239 200 LC Meter medley_relay,Master Providencia A,1,"2:55,00",175000,"3:05,40",185400,valid,,"1 Master Providencia A 2:55,00 3:05,40"
16,14,12,mixed 200-239 200 LC Meter medley_relay,Natacion Master Recoleta A,2,"3:10,00",190000,"3:10,40",190400,valid,,"2 Natacion Master Recoleta A 3:10,00 3:10,40"
16,17,12,mixed 240-279 200 LC Meter medley_relay,Master Providencia A,1,"2:40,00",160000,"2:50,25",170250,valid,,"1 Master Providencia A 2:40,00 2:50,25"
16,19,12,mixed 240-279 200 LC Meter medley_relay,Peñalolen Master A,2,"4:00,00",240000,"3:19,74",199740,valid,,"2 Penñalolen Master A 4:00,00 3:19,74"
16,21,12,mixed 240-279 200 LC Meter medley_relay,Nunoa Master A,3,"4:21,00",261000,"4:01,18",241180,valid,,"3 Nunoa Master A 4:21,00 4:01,18"
16,24,12,mixed 280-319 200 LC Meter medley_relay,Master Providencia A,1,"4:15,00",255000,"4:12,15",252150,valid,,"1 Master Providencia A 4:15,00 4:12,15"
16,26,12,mixed 280-319 200 LC Meter medley_relay,Nunoa Master A,,"4:12,00",252000,DQ,,dsq,,"--- Nunoa Master A 4:12,00 DQ"
