competition_id,event_name,stroke,distance_m,gender,age_group,round_type,source_id
2,women 20-24 400 LC Meter freestyle,freestyle,400,women,20-24,final,2
2,women 25-29 400 LC Meter freestyle,freestyle,400,women,25-29,final,2
2,women 30-34 400 LC Meter freestyle,freestyle,400,women,30-34,final,2
2,women 35-39 400 LC Meter freestyle,freestyle,400,women,35-39,final,2
2,women 40-44 400 LC Meter freestyle,freestyle,400,women,40-44,final,2
2,women 45-49 400 LC Meter freestyle,freestyle,400,women,45-49,final,2
2,women 50-54 400 LC Meter freestyle,freestyle,400,women,50-54,final,2
2,women 55-59 400 LC Meter freestyle,freestyle,400,women,55-59,final,2
2,women 60-64 400 LC Meter freestyle,freestyle,400,women,60-64,final,2
2,women 65-69 400 LC Meter freestyle,freestyle,400,women,65-69,final,2
2,women 70-74 400 LC Meter freestyle,freestyle,400,women,70-74,final,2
2,women 75-79 400 LC Meter freestyle,freestyle,400,women,75-79,final,2
2,men 20-24 400 LC Meter freestyle,freestyle,400,men,20-24,final,2
2,men 25-29 400 LC Meter freestyle,freestyle,400,men,25-29,final,2
2,men 30-34 400 LC Meter freestyle,freestyle,400,men,30-34,final,2
2,men 35-39 400 LC Meter freestyle,freestyle,400,men,35-39,final,2
2,men 40-44 400 LC Meter freestyle,freestyle,400,men,40-44,final,2
2,men 45-49 400 LC Meter freestyle,freestyle,400,men,45-49,final,2
2,men 50-54 400 LC Meter freestyle,freestyle,400,men,50-54,final,2
2,men 55-59 400 LC Meter freestyle,freestyle,400,men,55-59,final,2
2,men 60-64 400 LC Meter freestyle,freestyle,400,men,60-64,final,2
2,men 65-69 400 LC Meter freestyle,freestyle,400,men,65-69,final,2
2,men 70-74 400 LC Meter freestyle,freestyle,400,men,70-74,final,2
2,men 75-79 400 LC Meter freestyle,freestyle,400,men,75-79,final,2
2,women 20-24 50 LC Meter backstroke,backstroke,50,women,20-24,final,2
2,women 25-29 50 LC Meter backstroke,backstroke,50,women,25-29,final,2
2,women 30-34 50 LC Meter backstroke,backstroke,50,women,30-34,final,2
2,women 35-39 50 LC Meter backstroke,backstroke,50,women,35-39,final,2
2,women 40-44 50 LC Meter backstroke,backstroke,50,women,40-44,final,2
2,women 45-49 50 LC Meter backstroke,backstroke,50,women,45-49,final,2
2,women 50-54 50 LC Meter backstroke,backstroke,50,women,50-54,final,2
2,women 55-59 50 LC Meter backstroke,backstroke,50,women,55-59,final,2
2,women 60-64 50 LC Meter backstroke,backstroke,50,women,60-64,final,2
2,women 65-69 50 LC Meter backstroke,backstroke,50,women,65-69,final,2
2,women 70-74 50 LC Meter backstroke,backstroke,50,women,70-74,final,2
2,women 75-79 50 LC Meter backstroke,backstroke,50,women,75-79,final,2
2,women 85-89 50 LC Meter backstroke,backstroke,50,women,85-89,final,2
2,men 20-24 50 LC Meter backstroke,backstroke,50,men,20-24,final,2
2,men 25-29 50 LC Meter backstroke,backstroke,50,men,25-29,final,2
2,men 30-34 50 LC Meter backstroke,backstroke,50,men,30-34,final,2
2,men 35-39 50 LC Meter backstroke,backstroke,50,men,35-39,final,2
2,men 40-44 50 LC Meter backstroke,backstroke,50,men,40-44,final,2
2,men 45-49 50 LC Meter backstroke,backstroke,50,men,45-49,final,2
2,men 50-54 50 LC Meter backstroke,backstroke,50,men,50-54,final,2
2,men 55-59 50 LC Meter backstroke,backstroke,50,men,55-59,final,2
2,men 60-64 50 LC Meter backstroke,backstroke,50,men,60-64,final,2
2,men 65-69 50 LC Meter backstroke,backstroke,50,men,65-69,final,2
2,men 70-74 50 LC Meter backstroke,backstroke,50,men,70-74,final,2
2,men 75-79 50 LC Meter backstroke,backstroke,50,men,75-79,final,2
2,men 80-84 50 LC Meter backstroke,backstroke,50,men,80-84,final,2
2,men 85-89 50 LC Meter backstroke,backstroke,50,men,85-89,final,2
2,women 20-24 50 LC Meter breaststroke,breaststroke,50,women,20-24,final,2
2,women 25-29 50 LC Meter breaststroke,breaststroke,50,women,25-29,final,2
2,women 30-34 50 LC Meter breaststroke,breaststroke,50,women,30-34,final,2
2,women 35-39 50 LC Meter breaststroke,breaststroke,50,women,35-39,final,2
2,women 40-44 50 LC Meter breaststroke,breaststroke,50,women,40-44,final,2
2,women 45-49 50 LC Meter breaststroke,breaststroke,50,women,45-49,final,2
2,women 50-54 50 LC Meter breaststroke,breaststroke,50,women,50-54,final,2
2,women 55-59 50 LC Meter breaststroke,breaststroke,50,women,55-59,final,2
2,women 60-64 50 LC Meter breaststroke,breaststroke,50,women,60-64,final,2
2,women 65-69 50 LC Meter breaststroke,breaststroke,50,women,65-69,final,2
2,women 70-74 50 LC Meter breaststroke,breaststroke,50,women,70-74,final,2
2,women 75-79 50 LC Meter breaststroke,breaststroke,50,women,75-79,final,2
2,women 85-89 50 LC Meter breaststroke,breaststroke,50,women,85-89,final,2
2,men 20-24 50 LC Meter breaststroke,breaststroke,50,men,20-24,final,2
2,men 25-29 50 LC Meter breaststroke,breaststroke,50,men,25-29,final,2
2,men 30-34 50 LC Meter breaststroke,breaststroke,50,men,30-34,final,2
2,men 35-39 50 LC Meter breaststroke,breaststroke,50,men,35-39,final,2
2,men 40-44 50 LC Meter breaststroke,breaststroke,50,men,40-44,final,2
2,men 45-49 50 LC Meter breaststroke,breaststroke,50,men,45-49,final,2
2,men 50-54 50 LC Meter breaststroke,breaststroke,50,men,50-54,final,2
2,men 55-59 50 LC Meter breaststroke,breaststroke,50,men,55-59,final,2
2,men 60-64 50 LC Meter breaststroke,breaststroke,50,men,60-64,final,2
2,men 65-69 50 LC Meter breaststroke,breaststroke,50,men,65-69,final,2
2,men 70-74 50 LC Meter breaststroke,breaststroke,50,men,70-74,final,2
2,men 75-79 50 LC Meter breaststroke,breaststroke,50,men,75-79,final,2
2,men 80-84 50 LC Meter breaststroke,breaststroke,50,men,80-84,final,2
2,men 85-89 50 LC Meter breaststroke,breaststroke,50,men,85-89,final,2
2,women 20-24 50 LC Meter butterfly,butterfly,50,women,20-24,final,2
2,women 25-29 50 LC Meter butterfly,butterfly,50,women,25-29,final,2
2,women 30-34 50 LC Meter butterfly,butterfly,50,women,30-34,final,2
2,women 35-39 50 LC Meter butterfly,butterfly,50,women,35-39,final,2
2,women 40-44 50 LC Meter butterfly,butterfly,50,women,40-44,final,2
2,women 45-49 50 LC Meter butterfly,butterfly,50,women,45-49,final,2
2,women 50-54 50 LC Meter butterfly,butterfly,50,women,50-54,final,2
2,women 55-59 50 LC Meter butterfly,butterfly,50,women,55-59,final,2
2,women 60-64 50 LC Meter butterfly,butterfly,50,women,60-64,final,2
2,women 65-69 50 LC Meter butterfly,butterfly,50,women,65-69,final,2
2,women 70-74 50 LC Meter butterfly,butterfly,50,women,70-74,final,2
2,women 75-79 50 LC Meter butterfly,butterfly,50,women,75-79,final,2
2,men 20-24 50 LC Meter butterfly,butterfly,50,men,20-24,final,2
