event_name,relay_team_name,rank_position,seed_time_text,seed_time_ms,result_time_text,result_time_ms,points,status,source_id,page_number,line_number
mixed 100-119 200 LC Meter medley_relay,Stadio Italiano A,1,"2:09,00",129000,"2:13,60",133600,,valid,2,16,33
mixed 100-119 200 LC Meter medley_relay,Estadio Español A,2,"2:13,00",133000,"2:14,19",134190,,valid,2,16,35
mixed 100-119 200 LC Meter medley_relay,Goura Swim Team A,3,"2:10,00",130000,"2:15,66",135660,,valid,2,16,37
mixed 100-119 200 LC Meter medley_relay,Lozada Swim Team A,4,NT,,"2:17,04",137040,,valid,2,16,39
mixed 100-119 200 LC Meter medley_relay,Nunoa Master A,5,"2:18,00",138000,"2:23,94",143940,,valid,2,16,41
mixed 120-159 200 LC Meter medley_relay,Lozada Swim Team A,1,NT,,"2:10,70",130700,,valid,2,16,44
mixed 120-159 200 LC Meter medley_relay,Stadio Italiano A,2,"2:08,00",128000,"2:11,86",131860,,valid,2,16,46
mixed 120-159 200 LC Meter medley_relay,Nunoa Master A,3,"2:24,00",144000,"2:12,67",132670,,valid,2,16,48
mixed 120-159 200 LC Meter medley_relay,Goura Swim Team A,4,"2:10,00",130000,"2:19,13",139130,,valid,2,16,50
mixed 120-159 200 LC Meter medley_relay,Ironswim Master A,5,NT,,"2:23,32",143320,,valid,2,16,52
mixed 120-159 200 LC Meter medley_relay,Copiapo Swim A,6,NT,,"2:25,46",145460,,valid,2,17,5
mixed 120-159 200 LC Meter medley_relay,Cien por Ciento Swim A,7,NT,,"2:30,55",150550,,valid,2,17,7
mixed 120-159 200 LC Meter medley_relay,Condrictios Team A,8,"3:30,00",210000,"2:48,45",168450,,valid,2,17,9
mixed 120-159 200 LC Meter medley_relay,Aguila Natacion A,9,"3:20,00",200000,"2:57,24",177240,,valid,2,17,11
mixed 120-159 200 LC Meter medley_relay,Nunoa Master B,10,"3:15,00",195000,"2:57,97",177970,,valid,2,17,13
mixed 120-159 200 LC Meter medley_relay,Squadra Proswim B,11,"2:40,00",160000,"2:58,39",178390,,valid,2,17,15
mixed 120-159 200 LC Meter medley_relay,CS Maipu A,12,"4:03,00",243000,"3:00,96",180960,,valid,2,17,17
mixed 120-159 200 LC Meter medley_relay,Orinoco Swim Team A,13,"3:20,00",200000,"3:12,25",192250,,valid,2,17,19
mixed 120-159 200 LC Meter medley_relay,Squadra Proswim A,,"1:59,00",119000,DQ,,,dsq,2,17,21
mixed 160-199 200 LC Meter medley_relay,Lozada Swim Team A,1,NT,,"2:18,87",138870,,valid,2,17,24
mixed 160-199 200 LC Meter medley_relay,Nunoa Master A,2,"2:50,00",170000,"2:21,70",141700,,valid,2,17,26
mixed 160-199 200 LC Meter medley_relay,Stadio Italiano A,3,"2:18,00",138000,"2:27,56",147560,,valid,2,17,28
mixed 160-199 200 LC Meter medley_relay,Ironswim Master A,4,NT,,"2:35,50",155500,,valid,2,17,30
mixed 160-199 200 LC Meter medley_relay,Delfines de las Condes A,5,"2:48,00",168000,"2:37,50",157500,,valid,2,17,32
mixed 160-199 200 LC Meter medley_relay,Lo Que Boto La Ola A,6,NT,,"2:37,80",157800,,valid,2,17,34
mixed 160-199 200 LC Meter medley_relay,Squadra Proswim A,7,"2:35,00",155000,"2:49,80",169800,,valid,2,17,36
mixed 160-199 200 LC Meter medley_relay,Cien por Ciento Swim A,8,NT,,"3:04,23",184230,,valid,2,17,38
mixed 160-199 200 LC Meter medley_relay,Natacion Master Recoleta A,9,NT,,"3:23,69",203690,,valid,2,17,40
mixed 200-239 200 LC Meter medley_relay,Estadio Español A,1,"2:22,00",142000,"2:24,58",144580,,valid,2,17,43
mixed 200-239 200 LC Meter medley_relay,Stadio Italiano A,2,"2:31,00",151000,"2:27,02",147020,,valid,2,17,45
mixed 200-239 200 LC Meter medley_relay,H2o A,3,"2:40,00",160000,"2:32,94",152940,,valid,2,17,47
mixed 200-239 200 LC Meter medley_relay,Squadra Proswim A,4,"2:30,00",150000,"2:35,34",155340,,valid,2,17,49
mixed 200-239 200 LC Meter medley_relay,Delfines de las Condes A,5,"2:58,00",178000,"2:38,10",158100,,valid,2,17,51
mixed 200-239 200 LC Meter medley_relay,Nunoa Master A,6,"3:20,00",200000,"2:51,60",171600,,valid,2,17,53
mixed 200-239 200 LC Meter medley_relay,Lozada Swim Team A,7,NT,,"3:05,78",185780,,valid,2,17,55
mixed 200-239 200 LC Meter medley_relay,Natacion Master Recoleta A,8,"3:00,00",180000,"3:10,62",190620,,valid,2,18,5
mixed 200-239 200 LC Meter medley_relay,Master Providencia A,9,"3:30,00",210000,"3:11,67",191670,,valid,2,18,7
mixed 200-239 200 LC Meter medley_relay,Lo Que Boto La Ola A,10,NT,,"3:32,53",212530,,valid,2,18,9
mixed 240-279 200 LC Meter medley_relay,Nunoa Master B,1,"8:00,00",480000,"2:17,83",137830,,valid,2,18,12
mixed 240-279 200 LC Meter medley_relay,Delfines de las Condes A,2,"3:23,00",203000,"3:11,62",191620,,valid,2,18,14
mixed 240-279 200 LC Meter medley_relay,Ironswim Master A,3,NT,,"3:37,71",217710,,valid,2,18,16
mixed 240-279 200 LC Meter medley_relay,Estadio Español A,4,"3:58,00",238000,"4:15,62",255620,,valid,2,18,18
mixed 240-279 200 LC Meter medley_relay,Nunoa Master A,,"6:30,00",390000,DQ,,,dsq,2,18,20
mixed 100-119 200 LC Meter freestyle_relay,Lozada Swim Team A,1,NT,,"2:01,76",121760,,valid,2,33,20
mixed 100-119 200 LC Meter freestyle_relay,Stadio Italiano A,2,"1:57,00",117000,"2:02,35",122350,,valid,2,33,22
mixed 100-119 200 LC Meter freestyle_relay,Goura Swim Team A,3,"2:00,00",120000,"2:02,87",122870,,valid,2,33,24
mixed 100-119 200 LC Meter freestyle_relay,Nunoa Master A,4,"2:02,00",122000,"2:08,18",128180,,valid,2,33,26
mixed 120-159 200 LC Meter freestyle_relay,Lozada Swim Team A,1,NT,,"1:54,15",114150,,valid,2,33,29
mixed 120-159 200 LC Meter freestyle_relay,Stadio Italiano A,2,"1:51,00",111000,"1:55,05",115050,,valid,2,33,31
mixed 120-159 200 LC Meter freestyle_relay,Squadra Proswim A,3,"1:56,00",116000,"1:58,64",118640,,valid,2,33,33
mixed 120-159 200 LC Meter freestyle_relay,Nunoa Master A,4,"2:07,00",127000,"2:00,06",120060,,valid,2,33,35
mixed 120-159 200 LC Meter freestyle_relay,Estadio Español A,5,"2:03,00",123000,"2:06,31",126310,,valid,2,33,37
mixed 120-159 200 LC Meter freestyle_relay,Copiapo Swim A,6,NT,,"2:06,46",126460,,valid,2,33,39
mixed 120-159 200 LC Meter freestyle_relay,Goura Swim Team A,7,"2:00,00",120000,"2:06,80",126800,,valid,2,33,41
mixed 120-159 200 LC Meter freestyle_relay,Ironswim Master A,8,NT,,"2:10,76",130760,,valid,2,33,43
mixed 120-159 200 LC Meter freestyle_relay,Cien por Ciento Swim A,9,NT,,"2:14,90",134900,,valid,2,33,45
mixed 120-159 200 LC Meter freestyle_relay,CS Maipu A,10,"3:28,00",208000,"2:20,35",140350,,valid,2,33,47
mixed 120-159 200 LC Meter freestyle_relay,Condrictios Team A,11,"2:55,00",175000,"2:21,06",141060,,valid,2,33,49
mixed 120-159 200 LC Meter freestyle_relay,Squadra Proswim B,12,"2:20,00",140000,"2:25,94",145940,,valid,2,33,51
mixed 120-159 200 LC Meter freestyle_relay,Aguila Natacion A,13,"2:30,00",150000,"2:27,90",147900,,valid,2,34,5
mixed 120-159 200 LC Meter freestyle_relay,Orinoco Swim Team A,14,"2:30,00",150000,"2:30,51",150510,,valid,2,34,7
mixed 120-159 200 LC Meter freestyle_relay,Cien por Ciento Swim B,15,NT,,"2:49,19",169190,,valid,2,34,9
mixed 160-199 200 LC Meter freestyle_relay,Stadio Italiano A,1,"1:58,00",118000,"2:03,73",123730,,valid,2,34,12
mixed 160-199 200 LC Meter freestyle_relay,Lozada Swim Team A,2,NT,,"2:04,96",124960,,valid,2,34,14
mixed 160-199 200 LC Meter freestyle_relay,Nunoa Master A,3,"2:20,00",140000,"2:08,67",128670,,valid,2,34,16
mixed 160-199 200 LC Meter freestyle_relay,Ironswim Master A,4,NT,,"2:16,16",136160,,valid,2,34,18
mixed 160-199 200 LC Meter freestyle_relay,H2o A,5,NT,,"2:18,60",138600,,valid,2,34,20
mixed 200-239 200 LC Meter freestyle_relay,Stadio Italiano A,1,"2:00,00",120000,"2:08,42",128420,,valid,2,34,23
mixed 200-239 200 LC Meter freestyle_relay,Stadio Italiano B,2,NT,,"2:17,86",137860,,valid,2,34,25
mixed 200-239 200 LC Meter freestyle_relay,Squadra Proswim A,3,"2:50,00",170000,"2:22,00",142000,,valid,2,34,27
mixed 200-239 200 LC Meter freestyle_relay,Nunoa Master A,4,"2:35,00",155000,"2:24,61",144610,,valid,2,34,29
mixed 200-239 200 LC Meter freestyle_relay,Delfines de las Condes A,5,"2:31,00",151000,"2:26,83",146830,,valid,2,34,31
mixed 200-239 200 LC Meter freestyle_relay,Africa Natacion A,6,NT,,"2:30,39",150390,,valid,2,34,33
mixed 200-239 200 LC Meter freestyle_relay,Natacion Master Recoleta A,7,"3:00,00",180000,"2:44,44",164440,,valid,2,34,35
mixed 200-239 200 LC Meter freestyle_relay,Lozada Swim Team A,8,NT,,"2:47,71",167710,,valid,2,34,37
mixed 240-279 200 LC Meter freestyle_relay,Stadio Italiano A,1,"2:21,00",141000,"2:28,41",148410,,valid,2,34,40
mixed 240-279 200 LC Meter freestyle_relay,Delfines de las Condes A,2,"3:30,00",210000,"2:37,85",157850,,valid,2,34,42
mixed 240-279 200 LC Meter freestyle_relay,Nunoa Master A,3,"3:30,00",210000,"3:01,77",181770,,valid,2,34,44
mixed 240-279 200 LC Meter freestyle_relay,Ironswim Master A,4,NT,,"3:10,27",190270,,valid,2,34,46
mixed 240-279 200 LC Meter freestyle_relay,Estadio Español A,5,"2:15,00",135000,"3:13,90",193900,,valid,2,34,48
